,FinCap_Budget,FinCap_Goals,FinCap_EmergencyFund,FinCap_AutoDeposit,FinCap_IncomeExpenses,FinCap_LateFee
0,Yes,Somewhat confident,Yes,Yes,No,No
1,No,Somewhat confident,Yes,Yes,No,No
2,No,Somewhat confident,No,No,No,No
3,No,Very confident,No,No,No,Yes
4,Yes,Somewhat confident,No,No,No,No
5,No,Somewhat confident,No,No,Yes,No
6,Yes,Very confident,Yes,No,No,No
7,No,Not at all confident,No,No,No,No
8,No,Not at all confident,Yes,Yes,No,Yes
9,No,Not at all confident,No,No,No,No
10,No,Somewhat confident,No,No,No,No
11,No,Somewhat confident,No,Yes,Yes,No
12,Yes,Very confident,Yes,Yes,Yes,No
13,Yes,Very confident,Yes,Yes,Yes,Yes
14,Yes,Very confident,Yes,Yes,No,No
15,No,Somewhat confident,No,No,No,Yes
16,No,Very confident,Yes,No,Yes,Yes
17,No,Somewhat confident,No,No,No,Yes
18,No,Not at all confident,No,No,No,
19,No,Not at all confident,No,No,No,Yes
20,No,Somewhat confident,No,No,No,Yes
21,Yes,Somewhat confident,Yes,Yes,Yes,No
22,No,Not at all confident,No,No,No,Yes
23,Yes,Somewhat confident,No,No,Yes,Yes
24,Yes,Very confident,Yes,Yes,Yes,Yes
25,Yes,Not at all confident,No,Yes,No,Yes
26,Yes,Very confident,No,No,No,No
27,Yes,Very confident,No,No,No,No
28,Yes,Very confident,Yes,Yes,No,No
29,Yes,Somewhat confident,Yes,Yes,Yes,Yes
30,No,Not at all confident,No,No,No,Yes
31,No,Very confident,Yes,Yes,Yes,Yes
32,No,Somewhat confident,No,No,Yes,No
33,Yes,Somewhat confident,No,No,Yes,No
34,Yes,Somewhat confident,No,Yes,No,No
35,Yes,Somewhat confident,Yes,Yes,Yes,No
36,No,Somewhat confident,Yes,Yes,No,No
37,No,Somewhat confident,Yes,No,No,Yes
38,No,Not at all confident,No,No,No,No
39,Yes,Somewhat confident,No,No,Yes,Yes
40,No,Very confident,Yes,No,No,No
41,No,Very confident,No,Yes,No,Yes
42,Yes,Somewhat confident,Yes,Yes,Yes,No
43,Yes,Somewhat confident,Yes,Yes,No,No
44,Yes,Somewhat confident,No,Yes,No,No
45,Yes,Somewhat confident,No,Yes,No,No
46,No,Very confident,No,No,No,No
47,Yes,Not at all confident,No,No,Yes,No
48,Yes,Not at all confident,No,No,Yes,No
49,No,Not at all confident,No,No,No,No
50,No,Somewhat confident,No,Yes,No,No
51,Yes,Somewhat confident,No,No,Yes,Yes
52,Yes,Somewhat confident,No,No,Yes,Yes
53,Yes,Very confident,No,No,No,No
54,Yes,Very confident,No,No,No,No
55,No,Very confident,No,Yes,Yes,Yes
56,No,Somewhat confident,Yes,No,Yes,Yes
57,No,Very confident,No,No,No,No
58,Yes,Somewhat confident,Yes,No,Yes,No
59,No,Somewhat confident,No,No,No,No
60,No,Not at all confident,No,No,No,Yes
61,No,Somewhat confident,No,No,No,Yes
62,No,Very confident,No,No,No,No
63,No,Not at all confident,No,No,No,Yes
64,No,Somewhat confident,No,No,,Yes
65,No,Somewhat confident,No,No,No,Yes
66,Yes,Very confident,No,No,No,No
67,No,Very confident,No,No,No,Yes
68,No,Very confident,No,No,No,Yes
69,No,Very confident,No,No,No,No
70,No,Somewhat confident,No,No,No,Yes
71,No,Somewhat confident,No,No,No,Yes
72,No,Somewhat confident,No,No,No,No
73,No,Somewhat confident,No,No,No,No
74,Yes,Very confident,No,No,No,No
75,No,Not at all confident,No,No,No,No
76,No,Not at all confident,No,No,No,Yes
77,,,,,,
78,No,Somewhat confident,No,No,No,No
79,Yes,Somewhat confident,No,No,No,Yes
80,Yes,Somewhat confident,No,No,No,No
81,No,Somewhat confident,No,No,No,Yes
82,No,Not at all confident,No,No,No,Yes
83,No,Not at all confident,No,No,No,Yes
84,Yes,Somewhat confident,No,No,No,Yes
85,No,Very confident,No,No,No,Yes
86,Yes,Somewhat confident,No,No,No,Yes
87,No,Very confident,No,No,No,No
88,Yes,Not at all confident,No,No,No,Yes
89,Yes,Somewhat confident,No,No,No,Yes
90,No,Somewhat confident,No,Yes,Yes,Yes
91,No,Not at all confident,No,No,No,Yes
92,No,Somewhat confident,No,No,No,No
93,No,Somewhat confident,No,No,Yes,Yes
94,No,Somewhat confident,No,No,No,Yes
95,No,Very confident,No,No,No,Yes
96,No,Very confident,No,No,No,No
97,No,Very confident,No,Yes,No,No
98,No,Very confident,No,No,No,Yes
99,No,Very confident,No,No,No,No
100,No,Not at all confident,No,No,No,Yes
101,No,Not at all confident,No,No,No,Yes
102,No,Very confident,No,No,No,Yes
103,No,Very confident,No,No,No,No
104,No,Very confident,No,No,No,Yes
105,No,Very confident,No,No,No,No
106,,,,,,
107,,,,,,
108,,,,,,
109,,,,,,
110,,,,,,
111,,,,,,
112,,,,,,
113,,,,,,
114,,,,,,
115,,,,,,
116,,,,,,
117,,,,,,
118,,,,,,
119,,,,,,
120,,,,,,
121,,,,,,
122,,,,,,
123,,,,,,
124,,,,,,
125,,,,,,
126,,,,,,
127,,,,,,
128,,,,,,
129,,,,,,
130,,,,,,
131,,,,,,
132,,,,,,
133,,,,,,
134,,,,,,
135,,,,,,
136,,,,,,
137,,,,,,
138,,,,,,
139,,,,,,
140,,,,,,
141,,,,,,
142,,,,,,
143,,,,,,
144,,,,,,
145,No,Very confident,No,Yes,No,No
146,No,Somewhat confident,No,Yes,No,No
147,No,Somewhat confident,No,Yes,No,Yes
148,,,,,,
149,No,Very confident,No,No,No,Yes
150,,,,,,
151,,,,,,
152,No,Somewhat confident,,,,Yes
153,No,Somewhat confident,,,,No
154,,,,,,
155,,,,,,
156,No,Not at all confident,,,,Yes
157,,,,,,
158,Yes,Very confident,,,,Yes
159,,,,,,
160,,,,,,
161,,,,,,
162,,,,,,
163,No,Not at all confident,,,,Yes
164,,,,,,
165,,,,,,
166,,,,,,
167,No,Somewhat confident,,,,Yes
168,,,,,,
169,,,,,,
170,,,,,,
171,,,,,,
172,No,Very confident,,,,Yes
173,,,,,,
174,,,,,,
175,,,,,,
176,No,Very confident,,,,No
177,,,,,,
178,,,,,,
179,No,Somewhat confident,,,,No
180,No,Very confident,,,,No
181,,,,,,
