,FinCap_Budget,FinCap_Goals,FinCap_EmergencyFund,FinCap_AutoDeposit,FinCap_IncomeExpenses,FinCap_LateFee
687,Yes,Very confident,No,No,No,No
688,,,,,,
689,,,,,,
690,,,,,,
691,,,,,,
692,,,,,,
693,,,,,,
694,,,,,,
695,,,,,,
696,,,,,,
697,,,,,,
698,,,,,,
699,,,,,,
700,,,,,,
701,No,Not at all confident,No,No,No,Yes
702,,,,,,
703,,,,,,
704,,,,,,
705,,,,,,
706,,,,,,
707,,,,,,
708,,,,,,
709,Yes,Somewhat confident,No,No,Yes,No
710,Yes,Somewhat confident,No,No,Yes,No
711,,,,,,
712,,,,,,
713,,,,,,
714,,,,,,
715,,,,,,
716,,,,,,
717,,,,,,
718,,,,,,
719,,,,,,
720,,,,,,
721,,,,,,
722,,,,,,
723,,,,,,
724,,,,,,
725,,,,,,
726,,,,,,
727,,,,,,
728,,,,,,
729,,,,,,
730,,,,,,
731,,,,,,
732,,,,,,
733,,,,,,
734,,,,,,
735,,,,,,
736,,,,,,
737,,,,,,
738,,,,,,
739,,,,,,
740,,,,,,
741,,,,,,
742,,,,,,
743,,,,,,
744,,,,,,
745,,,,,,
746,,,,,,
747,,,,,,
748,,,,,,
749,,,,,,
750,,,,,,
751,,,,,,
752,,,,,,
753,,,,,,
754,,,,,,
755,,,,,,
756,,,,,,
757,,,,,,
758,,,,,,
759,,,,,,
760,,,,,,
761,,,,,,
762,,,,,,
763,,,,,,
764,,,,,,
765,,,,,,
766,,,,,,
767,,,,,,
768,Yes,Somewhat confident,No,No,No,No
769,Yes,Somewhat confident,No,No,No,No
770,,,,,,
771,,,,,,
772,,,,,,
773,,,,,,
774,,,,,,
775,,,,,,
776,Yes,Very confident,No,No,No,No
777,Yes,Very confident,No,No,No,No
778,,,,,,
779,,,,,,
780,,,,,,
781,,,,,,
782,,,,,,
783,,,,,,
784,,,,,,
785,,,,,,
786,,,,,,
787,,,,,,
788,,,,,,
789,,,,,,
790,,,,,,
791,,,,,,
792,,,,,,
793,,,,,,
794,,,,,,
795,,,,,,
796,,,,,,
797,,,,,,
798,,,,,,
799,,,,,,
800,,,,,,
801,,,,,,
802,,,,,,
803,,,,,,
804,,,,,,
805,Yes,Somewhat confident,No,No,Yes,No
806,,,,,,
807,,,,,,
808,,,,,,
809,,,,,,
810,,,,,,
811,,,,,,
812,,,,,,
813,,,,,,
814,,,,,,
815,,,,,,
816,,,,,,
817,,,,,,
818,,,,,,
819,,,,,,
820,,,,,,
821,,,,,,
822,,,,,,
823,,,,,,
824,,,,,,
825,,,,,,
826,,,,,,
827,,,,,,
828,,,,,,
829,,,,,,
830,,,,,,
831,,,,,,
832,Yes,Somewhat confident,Yes,No,Yes,No
833,Yes,Somewhat confident,Yes,No,Yes,No
834,Yes,Somewhat confident,No,No,Yes,No
835,Yes,Somewhat confident,No,No,Yes,No
836,,,,,,
837,,,,,,
838,,,,,,
839,,,,,,
840,,,,,,
841,,,,,,
842,No,Very confident,No,No,No,Yes
843,No,,No,No,No,No
844,Yes,Very confident,Yes,Yes,No,Yes
845,,,,,,
846,Yes,Very confident,No,No,Yes,Yes
847,No,,No,No,,No
848,Yes,Somewhat confident,No,No,No,No
849,Yes,Very confident,No,No,Yes,No
850,,,,,,
851,Yes,Somewhat confident,Yes,Yes,Yes,No
852,Yes,Somewhat confident,Yes,Yes,No,Yes
853,Yes,Very confident,No,No,No,No
854,No,Somewhat confident,No,No,No,
855,,,,,,
856,,,,,,
857,Yes,Not at all confident,No,No,No,Yes
858,Yes,Not at all confident,Yes,No,No,Yes
859,,Very confident,No,No,No,Yes
860,Yes,Very confident,No,No,Yes,No
861,No,Very confident,No,No,No,No
862,Yes,Not at all confident,Yes,No,No,No
863,No,Somewhat confident,No,No,Yes,No
864,No,Somewhat confident,Yes,No,No,Yes
865,No,Somewhat confident,No,No,No,Yes
866,No,Somewhat confident,No,Yes,No,No
867,Yes,Somewhat confident,No,No,Yes,No
868,,Very confident,Yes,No,No,No
869,,Not at all confident,,,,
870,Yes,Very confident,No,No,Yes,No
871,,Somewhat confident,No,No,No,Yes
872,No,Very confident,No,No,No,No
873,No,Somewhat confident,No,Yes,Yes,No
874,Yes,Somewhat confident,No,No,Yes,No
875,Yes,Very confident,Yes,Yes,No,Yes
876,No,Very confident,No,No,No,Yes
877,,,,,,
878,Yes,Not at all confident,Yes,Yes,No,No
879,No,Somewhat confident,No,No,No,Yes
880,Yes,Not at all confident,No,No,No,No
881,,,,,,
882,Yes,Somewhat confident,Yes,Yes,No,Yes
883,Yes,Somewhat confident,Yes,No,Yes,No
884,No,Somewhat confident,No,Yes,Yes,No
885,No,Somewhat confident,No,No,,Yes
886,Yes,Not at all confident,No,Yes,Yes,No
887,No,Not at all confident,No,Yes,No,Yes
888,,,,,,
889,Yes,Very confident,Yes,No,No,No
890,,,,,,
891,,,,,,
892,,,,,,
893,,,,,,
894,,,,,,
895,,,,,,
896,,,,,,
897,,,,,,
898,,,,,,
899,,,,,,
900,,,,,,
901,,,,,,
902,,,,,,
903,,,,,,
904,,,,,,
905,,,,,,
906,,,,,,
907,,,,,,
908,,,,,,
909,,,,,,
910,,,,,,
911,,,,,,
912,,,,,,
913,,,,,,
914,,,,,,
915,,,,,,
916,,,,,,
917,,,,,,
918,,,,,,
919,,,,,,
920,,,,,,
921,,,,,,
922,,,,,,
923,,,,,,
924,,,,,,
925,,,,,,
926,,,,,,
927,,,,,,
928,,,,,,
929,,,,,,
930,,,,,,
931,,,,,,
932,,,,,,
933,,,,,,
934,,,,,,
935,,,,,,
936,,,,,,
937,,,,,,
938,,,,,,
939,,,,,,
940,,,,,,
941,,,,,,
942,,,,,,
943,,,,,,
944,,,,,,
945,,,,,,
946,,,,,,
947,,,,,,
948,,,,,,
949,,,,,,
950,,,,,,
951,,,,,,
952,,,,,,
953,,,,,,
954,,,,,,
955,,,,,,
956,,,,,,
957,,,,,,
958,,,,,,
959,,,,,,
960,,,,,,
961,,,,,,
962,,,,,,
963,,,,,,
964,,,,,,
965,,,,,,
966,,,,,,
967,,,,,,
968,,,,,,
969,,,,,,
970,,,,,,
971,,,,,,
972,,,,,,
973,,,,,,
974,,,,,,
975,,,,,,
976,,,,,,
977,,,,,,
978,,,,,,
979,,,,,,
980,,,,,,
