,AccessEmployment,EmploymentStatus,EmploymentStartDate,EmploymentRetention,JobTrainingEnrolled,JobTrainingCompleted
0,No,Employed Full Time,2016-02-15,Yes,No,No
1,No,Employed Part Time,2019-02-18,Yes,No,No
2,No,Not employed,,No,No,No
3,No,Not employed,,No,No,No
4,No,Employed Full Time,2011-05-16,Yes,No,No
5,No,Employed Full Time,2018-06-01,Yes,No,No
6,No,Not employed,,No,No,No
7,No,Not employed,,No,No,No
8,No,Not employed,,No,No,No
9,No,Not employed,,No,No,No
10,No,Not employed,,No,No,No
11,No,Not employed,,No,No,No
12,No,Not employed,,No,No,No
13,No,Not employed,,No,No,No
14,No,Not employed,,No,No,No
15,No,Not employed,,No,No,No
16,No,Not employed,,No,No,No
17,No,Not employed,,No,No,No
18,No,Not employed,,No,No,No
19,No,Not employed,,No,No,No
20,No,Not employed,,No,No,No
21,No,Not employed,,No,No,No
22,Yes,Not employed,,No,No,No
23,No,Not employed,,No,No,No
24,Yes,Employed Full Time,2019-09-16,Yes,No,No
25,Yes,Not employed,,No,No,No
26,Yes,Not employed,,No,No,No
27,Yes,Not employed,,No,No,No
28,No,Not employed,,No,No,No
29,No,Not employed,,No,No,No
30,No,Not employed,,No,No,No
31,No,Not employed,,No,No,No
32,No,Not employed,,No,No,No
33,No,Not employed,,No,No,No
34,No,Not employed,,Yes,No,No
35,No,Not employed,,No,No,No
36,No,Employed Full Time,2007-08-20,Yes,No,No
37,No,Employed Full Time,2018-03-01,Yes,No,No
38,No,Not employed,,No,No,No
39,No,Employed Full Time,2019-01-06,Yes,No,No
40,No,Employed Full Time,2019-07-01,Yes,No,No
41,No,Not employed,,No,No,No
42,No,Employed Full Time,2009-07-01,Yes,No,No
43,No,Not employed,,No,No,No
44,No,Not employed,,No,No,No
45,No,Employed Full Time,2015-03-15,Yes,No,No
46,No,Employed Full Time,2019-04-06,Yes,No,No
47,No,Employed Full Time,2019-08-07,Yes,No,No
48,No,Employed Full Time,2019-01-07,Yes,Yes,Yes
49,No,Employed Part Time,2012-09-01,Yes,No,No
50,No,Employed Full Time,2018-10-22,Yes,No,No
51,No,Employed Part Time,2015-03-01,Yes,No,No
52,No,Not employed,,No,No,No
53,No,Employed Full Time,2019-04-15,No,No,No
54,No,Not employed,,No,No,No
55,No,Employed Full Time,2017-08-01,Yes,No,No
56,No,Not employed,,No,No,No
57,No,Employed Part Time,2018-07-17,Yes,No,No
58,Yes,Not employed,,No,No,No
59,No,Not employed,,No,No,No
60,No,Employed Full Time,2018-08-13,Yes,No,No
61,No,Employed Full Time,2009-09-28,Yes,No,No
62,No,Employed Full Time,2019-03-21,Yes,No,No
63,No,Employed Part Time,2019-03-04,No,No,No
64,No,Not employed,,No,No,No
65,No,Employed Full Time,2019-03-01,Yes,No,No
66,No,Employed Full Time,2019-03-21,Yes,Yes,No
67,No,Not employed,,No,Yes,Yes
68,No,Employed Full Time,2018-08-18,Yes,No,No
69,Yes,Employed Part Time,2019-03-25,Yes,Yes,No
70,Yes,Not employed,,No,No,No
71,No,Not employed,,No,Yes,No
72,No,Employed Full Time,2019-03-28,Yes,No,No
73,No,Not employed,,No,No,No
74,No,Not employed,,No,Yes,No
75,No,Employed Full Time,2019-01-23,Yes,No,No
76,No,Employed Part Time,2018-08-15,Yes,No,No
77,No,Employed Full Time,2018-04-16,Yes,No,No
78,No,Not employed,,No,No,No
79,No,Employed Full Time,2019-04-08,No,No,No
80,No,Not employed,,No,No,No
81,No,Not employed,,No,No,No
82,No,Not employed,,No,No,No
83,Yes,Employed Full Time,2019-05-16,No,No,No
84,No,Not employed,,No,No,No
