,FinCap_Budget,FinCap_Goals,FinCap_EmergencyFund,FinCap_AutoDeposit,FinCap_IncomeExpenses,FinCap_LateFee
0,Yes,Somewhat confident,Yes,Yes,Yes,No
1,Yes,Somewhat confident,Yes,Yes,Yes,No
2,Yes,Somewhat confident,Yes,Yes,Yes,No
3,Yes,Somewhat confident,No,No,No,Yes
4,Yes,Somewhat confident,Yes,Yes,Yes,No
5,Yes,Somewhat confident,Yes,Yes,No,Yes
6,Yes,Very confident,Yes,Yes,Yes,No
7,Yes,Very confident,Yes,Yes,Yes,No
8,No,Somewhat confident,No,No,No,Yes
9,No,Somewhat confident,No,No,No,Yes
10,Yes,Somewhat confident,No,No,No,Yes
11,No,Somewhat confident,Yes,Yes,Yes,Yes
12,Yes,Somewhat confident,No,Yes,No,Yes
13,Yes,Somewhat confident,No,No,No,Yes
14,No,Somewhat confident,Yes,Yes,No,No
15,Yes,Somewhat confident,No,Yes,Yes,No
16,No,Very confident,Yes,Yes,Yes,Yes
17,No,Somewhat confident,No,No,Yes,No
18,Yes,Somewhat confident,Yes,No,No,No
19,Yes,Somewhat confident,Yes,Yes,Yes,No
20,No,Somewhat confident,Yes,Yes,No,No
21,No,Somewhat confident,No,No,No,Yes
22,No,Very confident,No,No,Yes,No
23,Yes,Somewhat confident,No,Yes,No,No
24,Yes,Very confident,Yes,No,Yes,No
25,Yes,Very confident,No,Yes,No,No
26,No,Somewhat confident,Yes,No,Yes,No
27,No,Not at all confident,Yes,No,No,No
28,Yes,Very confident,Yes,Yes,Yes,No
29,No,Not at all confident,No,No,No,No
30,Yes,Very confident,No,No,No,No
31,No,Very confident,No,No,No,No
32,Yes,Somewhat confident,Yes,Yes,No,No
33,Yes,Not at all confident,Yes,Yes,No,Yes
34,No,Very confident,No,No,No,Yes
35,Yes,Somewhat confident,No,Yes,Yes,No
36,Yes,Somewhat confident,No,Yes,No,No
37,No,Somewhat confident,No,No,No,Yes
38,Yes,Somewhat confident,No,No,Yes,Yes
39,No,Somewhat confident,No,No,No,No
40,Yes,Very confident,Yes,Yes,Yes,No
41,No,Somewhat confident,No,No,No,Yes
42,No,Very confident,No,No,No,No
43,Yes,Very confident,Yes,No,No,No
44,Yes,Very confident,Yes,Yes,No,Yes
45,No,Very confident,No,No,No,No
46,No,Very confident,Yes,Yes,No,Yes
47,Yes,Somewhat confident,No,Yes,Yes,Yes
48,Yes,Somewhat confident,No,Yes,No,Yes
49,No,Somewhat confident,No,No,Yes,No
50,Yes,Somewhat confident,No,No,Yes,No
51,Yes,Very confident,Yes,No,Yes,No
52,Yes,Very confident,Yes,No,Yes,No
53,Yes,Somewhat confident,No,Yes,Yes,Yes
54,Yes,Somewhat confident,No,Yes,Yes,Yes
55,No,Very confident,No,Yes,No,No
56,No,Very confident,No,Yes,No,No
57,Yes,Somewhat confident,No,No,No,Yes
58,No,Not at all confident,No,No,No,Yes
59,No,Not at all confident,No,No,No,No
60,Yes,Very confident,No,No,No,No
61,No,Somewhat confident,No,No,No,No
62,Yes,Very confident,No,No,No,Yes
63,Yes,Somewhat confident,No,No,No,Yes
64,Yes,Very confident,No,No,No,No
65,Yes,Somewhat confident,No,No,No,Yes
66,No,Not at all confident,No,No,No,Yes
67,Yes,Very confident,No,No,No,No
68,Yes,Somewhat confident,No,No,No,Yes
69,Yes,Very confident,No,No,No,Yes
70,Yes,Very confident,No,No,No,Yes
71,Yes,Very confident,No,No,No,No
72,No,Very confident,No,No,No,No
73,No,Very confident,No,No,No,No
74,Yes,Very confident,No,No,No,No
75,Yes,Very confident,No,No,No,No
76,No,Very confident,No,No,No,No
77,Yes,Somewhat confident,No,No,No,No
78,Yes,Somewhat confident,No,No,No,No
79,Yes,Very confident,No,No,No,No
80,Yes,Not at all confident,No,No,No,No
81,Yes,Very confident,No,No,No,No
82,No,Not at all confident,No,No,No,Yes
83,No,Not at all confident,No,No,No,Yes
84,No,Not at all confident,No,No,No,Yes
85,No,Not at all confident,No,No,No,Yes
86,No,Not at all confident,No,No,No,Yes
87,No,Not at all confident,No,No,No,Yes
88,No,Not at all confident,No,No,No,Yes
89,No,Not at all confident,No,No,No,Yes
90,No,Not at all confident,No,No,No,Yes
91,No,Not at all confident,No,No,No,Yes
92,No,Not at all confident,No,No,No,Yes
93,No,Not at all confident,No,No,No,Yes
94,No,Not at all confident,No,No,No,Yes
95,No,Not at all confident,No,No,No,Yes
96,No,Not at all confident,No,No,No,Yes
97,No,Not at all confident,No,No,No,Yes
98,No,Not at all confident,No,No,No,Yes
99,No,Not at all confident,No,No,No,Yes
100,No,Not at all confident,No,No,No,Yes
101,No,Not at all confident,No,No,No,Yes
102,No,Not at all confident,No,No,No,Yes
103,No,Not at all confident,No,No,No,Yes
104,No,Not at all confident,No,No,No,Yes
105,No,Not at all confident,No,No,No,Yes
106,No,Not at all confident,No,No,No,Yes
107,No,Not at all confident,No,No,No,Yes
108,Yes,Somewhat confident,No,No,Yes,Yes
109,No,Somewhat confident,No,No,No,No
110,No,Somewhat confident,No,No,No,No
111,Yes,Somewhat confident,No,No,Yes,Yes
112,No,Somewhat confident,No,No,No,Yes
113,No,Somewhat confident,No,Yes,Yes,No
114,No,Very confident,No,No,No,Yes
115,No,Not at all confident,No,No,Yes,Yes
116,Yes,Very confident,No,Yes,Yes,No
117,Yes,Very confident,No,No,No,Yes
118,No,Not at all confident,No,No,Yes,Yes
119,No,Not at all confident,No,No,No,Yes
120,Yes,Somewhat confident,No,No,Yes,Yes
121,Yes,Very confident,No,Yes,Yes,No
122,Yes,Very confident,No,Yes,Yes,Yes
123,No,Somewhat confident,No,No,Yes,Yes
124,Yes,Very confident,No,Yes,No,Yes
125,No,Somewhat confident,No,No,Yes,Yes
126,No,Somewhat confident,No,No,No,No
127,Yes,Very confident,No,No,Yes,Yes
128,No,Somewhat confident,No,No,Yes,No
129,,,,,,
130,Yes,Not at all confident,No,Yes,Yes,Yes
131,Yes,Very confident,No,No,No,Yes
132,No,Very confident,No,No,Yes,No
133,No,Very confident,No,No,No,Yes
134,,,,,,
135,,,,,,
136,,,,,,
137,,,,,,
138,Yes,Very confident,No,No,Yes,No
139,,,,,,
140,,,,,,
141,,,,,,
142,Yes,Very confident,No,No,No,No
143,No,Somewhat confident,,Yes,No,Yes
144,No,Somewhat confident,,No,Yes,No
145,,,,,,
146,,,,,,
147,No,Not at all confident,,No,Yes,Yes
148,,,,,,
149,Yes,Very confident,,Yes,Yes,Yes
150,,,,,,
151,No,Not at all confident,,No,Yes,No
152,,,,,,
153,Yes,Somewhat confident,,Yes,No,Yes
154,No,Not at all confident,,Yes,No,Yes
155,,,,,,
156,,,,,,
157,,,,,,
158,No,Somewhat confident,,No,No,Yes
159,,,,,,
160,,,,,,
161,,,,,,
162,,,,,,
163,No,Very confident,,No,Yes,Yes
164,,,,,,
165,,,,,,
166,,,,,,
167,No,Very confident,,No,Yes,No
168,,,,,,
169,,,,,,
170,No,Somewhat confident,,No,No,No
171,No,Very confident,,Yes,Yes,No
172,,,,,,
173,Yes,Very confident,,No,No,No
174,No,Somewhat confident,,No,No,No
175,No,Somewhat confident,,No,Yes,No
176,No,Somewhat confident,,No,No,No
177,No,Somewhat confident,,No,No,No
178,No,Somewhat confident,,No,No,No
179,Yes,Very confident,,No,No,Yes
180,Yes,Very confident,No,No,No,Yes
181,No,Not at all confident,No,No,Yes,No
182,No,Not at all confident,No,Yes,Yes,No
183,Yes,Not at all confident,No,Yes,Yes,Yes
184,No,Not at all confident,No,Yes,No,Yes
185,No,Somewhat confident,No,Yes,Yes,Yes
186,Yes,Not at all confident,No,No,Yes,No
187,No,Very confident,Yes,Yes,No,Yes
188,Yes,Not at all confident,No,No,No,No
