,AccessEmployment,EmploymentStatus,EmploymentStartDate,EmploymentRetention,JobTrainingEnrolled,JobTrainingCompleted
0,Yes,Employed Full Time,2019-03-21,Yes,Yes,Yes
1,Yes,Employed Full Time,2019-04-06,Yes,Yes,Yes
2,Yes,Employed Full Time,2019-01-02,Yes,Yes,Yes
3,No,Not employed,,No,No,No
4,Yes,Employed Full Time,2019-06-01,Yes,Yes,Yes
5,Yes,Employed Part Time,2019-05-15,Yes,Yes,Yes
6,Yes,Employed Full Time,2019-02-25,Yes,Yes,Yes
7,Yes,Employed Full Time,2019-01-25,Yes,Yes,Yes
8,Yes,Employed Part Time,2019-08-01,Yes,Yes,Yes
9,Yes,Not employed,,No,No,No
10,Yes,Employed Full Time,2019-10-01,Yes,Yes,Yes
11,Yes,Employed Full Time,2019-04-03,Yes,No,No
12,Yes,Employed Full Time,2019-07-15,Yes,Yes,Yes
13,Yes,Employed Part Time,2019-09-04,Yes,Yes,Yes
14,Yes,Employed Part Time,2019-07-30,Yes,Yes,Yes
15,Yes,Employed Full Time,2019-08-01,Yes,Yes,Yes
16,Yes,Not employed,,,,
17,Yes,Employed Full Time,2017-10-16,Yes,No,No
18,Yes,Employed Full Time,2017-01-05,Yes,Yes,Yes
19,Yes,Employed Full Time,2019-08-25,Yes,Yes,Yes
20,No,Not employed,,,,
21,Yes,Not employed,,,,
22,No,Not employed,,,,
23,Yes,Not employed,,,,
24,Yes,Employed Full Time,2019-04-15,Yes,Yes,Yes
25,Yes,Employed Full Time,2019-07-01,Yes,Yes,Yes
26,Yes,Employed Part Time,2019-09-18,Yes,Yes,Yes
27,No,Not employed,,,,
28,Yes,Employed Full Time,2019-09-17,Yes,Yes,Yes
29,Yes,Employed Full Time,2018-06-04,Yes,No,
30,Yes,Employed Full Time,2019-09-26,Yes,No,
31,Yes,Employed Full Time,2018-10-01,Yes,No,
32,Yes,Employed Full Time,2017-01-03,Yes,No,
33,Yes,Not employed,,No,No,
34,Yes,Employed Part Time,2019-07-08,Yes,No,
35,Yes,Employed Part Time,2019-06-24,Yes,No,
36,Yes,Employed Full Time,2019-08-01,Yes,Yes,No
37,Yes,Not employed,,No,No,
38,Yes,Employed Part Time,2019-08-26,Yes,No,Yes
39,Yes,Employed Part Time,2019-07-08,Yes,No,
40,Yes,Employed Full Time,2019-07-11,Yes,No,
41,Yes,Employed Part Time,2019-08-26,Yes,No,
42,Yes,Employed Part Time,2019-05-24,Yes,No,Yes
43,Yes,Employed Full Time,2018-09-24,Yes,No,
44,Yes,Employed Full Time,2019-08-26,Yes,No,
45,Yes,Not employed,,No,No,
46,Yes,Employed Full Time,2019-09-09,Yes,No,
47,Yes,Employed Full Time,2017-07-03,Yes,No,
48,Yes,Employed Part Time,2019-08-05,Yes,No,
49,Yes,Employed Part Time,2019-05-28,Yes,No,
50,Yes,Employed Part Time,2019-05-28,Yes,No,
51,Yes,Employed Full Time,2019-06-10,Yes,No,
52,Yes,Employed Full Time,2019-09-03,Yes,No,
53,Yes,Employed Part Time,2018-10-12,Yes,Yes,No
54,Yes,Employed Part Time,2018-10-12,Yes,Yes,No
55,Yes,Employed Full Time,2014-10-01,Yes,No,
56,Yes,Employed Full Time,2014-10-01,Yes,No,
57,Yes,Not employed,,,Yes,Yes
58,Yes,Not employed,,,No,No
59,Yes,Not employed,,,No,No
60,Yes,Not employed,,,No,No
61,Yes,Employed Part Time,2019-08-01,Yes,No,No
62,Yes,Employed Full Time,2019-06-27,Yes,No,No
63,Yes,Employed Part Time,2019-09-09,Yes,No,No
64,Yes,Employed Full Time,2019-08-12,Yes,Yes,Yes
65,Yes,Not employed,,,No,No
66,No,Employed Full Time,2019-08-29,,No,No
67,No,Not employed,,,No,No
68,Yes,Employed Full Time,2019-07-25,Yes,No,No
69,No,Employed Full Time,2019-08-21,Yes,No,No
70,No,Employed Full Time,2019-08-29,Yes,Yes,Yes
71,No,Not employed,,No,Yes,Yes
72,No,Not employed,,No,Yes,Yes
73,No,Not employed,,Yes,No,No
74,Yes,Employed Full Time,2019-07-01,Yes,Yes,Yes
75,Yes,Employed Part Time,2019-08-01,Yes,Yes,No
76,Yes,Employed Part Time,2019-08-01,Yes,,
77,No,Not employed,,,,
78,Yes,Employed Full Time,2019-08-01,Yes,,
79,Yes,Employed Part Time,2019-09-01,Yes,Yes,Yes
80,Yes,Employed Part Time,2019-08-01,Yes,Yes,Yes
81,Yes,Employed Part Time,2019-10-01,,Yes,Yes
82,Yes,Employed Full Time,2015-07-22,,Yes,Yes
83,Yes,Not employed,,,Yes,Yes
84,Yes,Not employed,,,Yes,Yes
85,Yes,Not employed,,,Yes,Yes
86,Yes,Employed Part Time,2019-09-13,,Yes,Yes
87,Yes,Employed Part Time,2019-09-11,,Yes,Yes
88,Yes,Employed Part Time,2019-09-19,,Yes,Yes
89,Yes,Not employed,,,Yes,Yes
90,Yes,Employed Full Time,2019-09-23,,Yes,Yes
91,Yes,Not employed,,,Yes,Yes
92,Yes,Not employed,,,Yes,Yes
93,Yes,Employed Part Time,2019-07-29,,Yes,Yes
94,Yes,Not employed,,,Yes,Yes
95,Yes,Not employed,,,Yes,Yes
96,Yes,Not employed,,,Yes,Yes
97,Yes,Not employed,,,Yes,Yes
98,Yes,Employed Full Time,2019-08-16,,Yes,Yes
